name,system_url
Stadt Köln,https://ratsinformation.stadt-koeln.de/oparl/system
Stadt Bonn,https://www2.bonn.de/bo_ris/oparl
Stadt Aachen,https://ratsinfo.aachen.de/bi/oparl/1.0/system.asp
Stadt Münster,https://www.stadt-muenster.de/sessionnet/sessionnetbi/oparl/bodies.php
Stadt Duisburg,https://sessionnet.krz.de/duisburg/bi/oparl/1.0/system.asp
Stadt Essen,https://ratsinfo.essen.de/ratsinfo/oparl/bodies.asp
Stadt Wuppertal,https://ris.wuppertal.de/oparl/bodies.asp
Stadt Düsseldorf,https://ris.duesseldorf.de/oparl/bodies.asp
Stadt Dortmund,https://dosys01.digistadtdo.de/dosys/oparl/bodies.asp
Stadt Gelsenkirchen,https://sessionnet.krz.de/gelsenkirchen/bi/oparl/1.0/system.asp
Stadt Bochum,https://session.bochum.de/bi/oparl/1.0/system.asp
Stadt Leverkusen,https://ratsinformation.leverkusen.de/oparl/1.0/system.asp
Stadt Krefeld,https://www.sessionnet.krefeld.de/bi/oparl/1.0/system.asp
Stadt Bielefeld,https://sitzungen-ni.bielefeld.de/oparl/bodies.asp
Stadt Hamm,https://session.hamm.de/bi/oparl/1.0/system.asp
Stadt Münster Allris,https://oparl.stadt-muenster.de/system
Stadt Moers,https://ksd-moers.kdvz-frechen.de/sdnetrim/webservice/oparl/v1.1/system
Stadt Bergisch Gladbach,https://sitzungen.stadt-gl.de/sdnet6/webservice/oparl/v1.1/system
Stadt Recklinghausen,https://sdnet.recklinghausen.de/sdnet/webservice/oparl/v1.1/system
Stadt Herne,https://session.herne.de/bi/oparl/1.0/system.asp
Stadt Mülheim an der Ruhr,https://ris.muelheim-ruhr.de/buergerinfo/oparl/bodies.asp
Stadt Solingen,https://ris.solingen.de/buergerinfo/oparl/bodies.asp
Stadt Oberhausen,https://ratsinfo.oberhausen.de/oparl/bodies.asp
Stadt Hagen,https://sdnet.hagen.de/sdnetrim/webservice/oparl/v1.1/system
Stadt Paderborn,https://sitzungsdienst.paderborn.de/bi/oparl/1.0/system.asp
Stadt Neuss,https://ratsinfo.neuss.de/bi/oparl/1.0/system.asp
Stadt Mönchengladbach,https://ratsinfo.moenchengladbach.de/oparl/bodies.asp
Stadt Bottrop,https://session.bottrop.de/bi/oparl/1.0/system.asp
Stadt Remscheid,https://ris.remscheid.de/buergerinfo/oparl/bodies.asp
Stadt Siegen,https://ratsinfo.siegen.de/oparl/bodies.asp
Kreis Viersen,https://www.sitzungsdienst-viersen.de/bi/oparl/1.0/system.asp
Kreis Heinsberg,https://www.sitzungsdienst-heinsberg.de/bi/oparl/1.0/system.asp
Kreis Mettmann,https://sitzungen.kreis-mettmann.de/bi/oparl/1.0/system.asp
Rhein-Erft-Kreis,https://politik-bei-uns.de/api/oparl/1.0/body/373
Kreis Düren,https://sitzungsdienst.kreis-dueren.de/bi/oparl/1.0/system.asp
Rhein-Sieg-Kreis,https://ratsinfo.rhein-sieg-kreis.de/bi/oparl/1.0/system.asp
Kreis Warendorf,https://sitzungsdienst-warendorf.de/bi/oparl/1.0/system.asp
Kreis Lippe,https://sitzungsdienst-lippe.de/bi/oparl/1.0/system.asp
Kreis Gütersloh,https://sessionnet.gtevents.de/guetersloh/bi/oparl/1.0/system.asp
Kreis Soest,https://sitzungsdienst-soest.de/bi/oparl/1.0/system.asp
Kreis Unna,https://sessionnet.krz.de/kreisunna/bi/oparl/1.0/system.asp
Berlin Pankow,https://sitzungsdienst-pankow.de/bi/oparl/1.0/system.asp
Berlin Mitte,https://sitzungsdienst-mitte.de/bi/oparl/1.0/system.asp
Berlin Lichtenberg,https://sitzungsdienst-lichtenberg.de/bi/oparl/1.0/system.asp
Berlin Friedrichshain-Kreuzberg,https://sitzungsdienst-ba-fk.de/bi/oparl/1.0/system.asp
Berlin Charlottenburg-Wilmersdorf,https://sitzungsdienst-charlottenburg-wilmersdorf.de/bi/oparl/1.0/system.asp
Berlin Neukölln,https://sitzungsdienst-neukoelln.de/bi/oparl/1.0/system.asp
Berlin Tempelhof-Schöneberg,https://sitzungsdienst-tempelhof-schoeneberg.de/bi/oparl/1.0/system.asp
Berlin Spandau,https://sitzungsdienst-spandau.de/bi/oparl/1.0/system.asp
Berlin Steglitz-Zehlendorf,https://sitzungsdienst-steglitz-zehlendorf.de/bi/oparl/1.0/system.asp
Berlin Reinickendorf,https://sitzungsdienst-reinickendorf.de/bi/oparl/1.0/system.asp
Berlin Treptow-Köpenick,https://sitzungsdienst-treptow-koepenick.de/bi/oparl/1.0/system.asp
Berlin Marzahn-Hellersdorf,https://sitzungsdienst-marzahn-hellersdorf.de/bi/oparl/1.0/system.asp
München,https://www.muenchen-transparent.de/oparl/v1.0
Stadt Frankfurt am Main,https://www.stvv.frankfurt.de/oparl/body.asp
Stadt Mainz,https://ris.mainz.de/webservice/oparl/v1.1/system
Stadt Wiesbaden,https://sessionnet.wiesbaden.de/bi/oparl/1.0/system.asp
Stadt Offenbach,https://ratsinfo.offenbach.de/oparl/bodies.asp
Stadt Kassel,https://ratsinfo.kassel.de/ratsinfo/oparl/bodies.asp
Stadt Darmstadt,https://www.darmstadt.de/darmstadt_ris/oparl/bodies.asp
Stadt Hanau,https://session.hanau.de/bi/oparl/1.0/system.asp
Stadt Giessen,https://sitzungsdienst-giessen.de/bi/oparl/1.0/system.asp
Stadt Fulda,https://sitzungsdienst.fulda.de/bi/oparl/1.0/system.asp
Stadt Marburg,https://sitzungsdienst.marburg.de/bi/oparl/1.0/system.asp
Stadt Bremen,https://sd.bremische-buergerschaft.de/oparl/bodies.asp
Stadt Hamburg,https://www.hamburg.de/politik/oparl/system
Stadt Stuttgart,https://www.domino1.stuttgart.de/web/ksd/ksdris.nsf/oparlSystem
Stadt Karlsruhe,https://ris.karlsruhe.de/oparl/bodies.asp
Stadt Mannheim,https://buergerinfo.mannheim.de/oparl/bodies.asp
Stadt Heidelberg,https://gemeinderat.heidelberg.de/bi/oparl/1.0/system.asp
Stadt Freiburg,https://ris.freiburg.de/oparl/bodies.asp
Stadt Pforzheim,https://pforzheim.more-rubin1.de/oparl/system
Stadt Konstanz,https://ris.konstanz.de/bi/oparl/1.0/system.asp
Stadt Reutlingen,https://ris.reutlingen.de/oparl/bodies.asp
Stadt Heilbronn,https://buergerinfo.heilbronn.de/oparl/bodies.asp
Stadt Ulm,https://buergerinfo.ulm.de/oparl/bodies.asp
Stadt Tübingen,https://ris.tuebingen.de/oparl/bodies.asp
Stadt Esslingen,https://ris.esslingen.de/buergerinfo/oparl/bodies.asp
Stadt Nürnberg,https://ris.nuernberg.de/oparl/bodies.asp
Stadt Augsburg,https://ratsinformation.augsburg.de/oparl/bodies.asp
Stadt Würzburg,https://www.wuerzburg.de/ris/oparl/bodies.asp
Stadt Regensburg,https://www.regensburg.de/ris/oparl/bodies.asp
Stadt Ingolstadt,https://www.ingolstadt.de/ris/oparl/bodies.asp
Stadt Erlangen,https://ratsinfo.erlangen.de/oparl/bodies.asp
Stadt Fürth,https://ratsinfo.fuerth.de/oparl/bodies.asp
Stadt Bayreuth,https://ratsinfo.bayreuth.de/oparl/bodies.asp
Stadt Bamberg,https://ratsinfo.bamberg.de/oparl/bodies.asp
Stadt Landshut,https://ratsinfo.landshut.de/oparl/bodies.asp
Stadt Hannover,https://e-government.hannover-stadt.de/lhhsimwebre.nsf/oparl/system
Stadt Braunschweig,https://ratsinfo.braunschweig.de/oparl/bodies.asp
Stadt Oldenburg,https://bis.stadt-oldenburg.de/bi/oparl/1.0/system.asp
Stadt Osnabrück,https://ris.osnabrueck.de/bi/oparl/1.0/system.asp
Stadt Wolfsburg,https://bi.wolfsburg.de/bi/oparl/1.0/system.asp
Stadt Göttingen,https://ratsinfo.goettingen.de/bi/oparl/1.0/system.asp
Stadt Salzgitter,https://ratsinfo.salzgitter.de/bi/oparl/1.0/system.asp
Stadt Hildesheim,https://ris.hildesheim.de/bi/oparl/1.0/system.asp
Stadt Delmenhorst,https://ratsinfo.delmenhorst.de/bi/oparl/1.0/system.asp
Stadt Lübeck,https://session.stadt.luebeck.de/bi/oparl/1.0/system.asp
Stadt Kiel,https://ratsinfo.kiel.de/bi/oparl/1.0/system.asp
Stadt Neumünster,https://politik.neumuenster.de/bi/oparl/1.0/system.asp
Stadt Flensburg,https://politik.flensburg.de/bi/oparl/1.0/system.asp
Stadt Rostock,https://buergerinfo.rostock.de/bi/oparl/1.0/system.asp
Stadt Schwerin,https://www.buergerinfo.schwerin.de/bi/oparl/1.0/system.asp
Stadt Leipzig,https://ratsinfo.leipzig.de/bi/oparl/1.0/system.asp
Stadt Dresden,https://ratsinfo.dresden.de/oparl/system
Stadt Chemnitz,https://sessionnet.owl-it.de/chemnitz/bi/oparl/1.0/system.asp
Stadt Erfurt,https://www.erfurt.de/ef/de/rathaus/politik/rat/oparl/system
Stadt Jena,https://sessionnet.owl-it.de/jena/bi/oparl/1.0/system.asp
Stadt Weimar,https://stadt.weimar.de/ris/oparl/bodies.asp
Stadt Magdeburg,https://ratsinfo.magdeburg.de/oparl/bodies.asp
Stadt Halle,https://buergerinfo.halle.de/oparl/bodies.asp
Stadt Dessau-Roßlau,https://sessionnet.owl-it.de/dessau/bi/oparl/1.0/system.asp
Stadt Potsdam,https://egov.potsdam.de/bi/oparl/1.0/system.asp
Stadt Cottbus,https://www.cottbus.de/ratsinfo/oparl/bodies.asp
Stadt Brandenburg an der Havel,https://ratsinfo.brandenburg-stadt.de/oparl/bodies.asp
Stadt Frankfurt Oder,https://ratsinfo.frankfurt-oder.de/bi/oparl/1.0/system.asp
Stadt Saarbrücken,https://stadt.saarbruecken.de/ratsinfo/oparl/bodies.asp
Stadt Koblenz,https://ris.koblenz.de/bi/oparl/1.0/system.asp
Stadt Trier,https://session.trier.de/bi/oparl/1.0/system.asp
Stadt Ludwigshafen,https://ratsinfo.ludwigshafen.de/bi/oparl/1.0/system.asp
Stadt Kaiserslautern,https://ratsinfo.kaiserslautern.de/bi/oparl/1.0/system.asp
Stadt Worms,https://sessionnet.worms.de/bi/oparl/1.0/system.asp
